,osm_address,district
298,"Москва, улица Большие Каменщики, 21/8",Кошельная слобода
299,"Москва, Пролетарский проспект, 14/49",район Царицыно
300,"Москва, Кантемировская улица, 17",район Москворечье-Сабурово
301,"Москва, 2-й Капотня, 1",район Капотня
302,"Москва, Старая Басманная улица, 5",Хитровка
303,"Москва, Старая Басманная улица, 9",Бауманка
304,"Москва, Кастанаевская улица, 11",Фили
305,"Москва, Кастанаевская улица, 54",район Фили-Давыдково
306,"Москва, улица Каховка, 8",район Зюзино
307,"Москва, Малая Никитская улица, 2/1",Пресненский район
308,"Москва, Малая Никитская улица, 10",Пресненский район
309,"Москва, Малая Никитская улица, 16/5",Пресненский район
310,"Москва, Каширское шоссе, 5",район Нагатино-Садовники
311,"Москва, Каширское шоссе, 13",район Нагатино-Садовники
312,"Москва, Каширское шоссе, 46",район Москворечье-Сабурово
313,"Москва, Каширское шоссе, 56",район Москворечье-Сабурово
314,"Москва, Каширское шоссе, 60",район Москворечье-Сабурово
315,"Москва, Керченская улица, 1",район Зюзино
316,"Москва, Керченская улица, 1А",район Зюзино
317,"Москва, улица Кибальчича, 2",Алексеевский район
318,"Москва, Киевская улица, 20",район Дорогомилово
319,"Москва, Мясницкая улица, 15",Красносельский район
320,"Москва, Мясницкая улица, 22",Басманный район
321,"Москва, Мясницкая улица, 24/7",Красносельский район
322,"Москва, Мясницкая улица, 30/1/2",Басманный район
323,"Москва, Мясницкая улица, 40А",Басманный район
324,"Москва, Кировоградская улица, 11",район Чертаново Центральное
325,"Москва, Кировоградская улица, 25",район Чертаново Южное
326,"Москва, Рождественский бульвар, 10/7",Мещанский район
327,"Москва, Кожевническая улица, 5",район Замоскворечье
328,"Москва, 5-я Кожуховская улица, 10",Даниловский район
329,"Москва, Малый Козихинский переулок, 10",Пресненский район
330,"Москва, Большой Козловский переулок, 3/2",Хитровка
331,"Москва, 2-й Колобовский переулок, 12",Сущёво
332,"Москва, Коломенская улица, 5",район Нагатинский Затон
333,"Москва, Большая Сухаревская площадь, 16/18",Красносельский район
334,"Москва, Малая Сухаревская площадь, 8",Мещанский район
335,"Москва, Большой Златоустинский переулок, 3/5",Басманный район
336,"Москва, Фрунзенская набережная, 12",Плющиха
337,"Москва, Комсомольский проспект, 5/2",Плющиха
338,"Москва, Комсомольский проспект, 7",Девичье поле
339,"Москва, Комсомольский проспект, 14/1",Девичье поле
340,"Москва, Комсомольский проспект, 17",Девичье поле
341,"Москва, Комсомольский проспект, 21/10",Девичье поле
342,"Москва, Комсомольский проспект, 29",Девичье поле
343,"Москва, Комсомольский проспект, 30",Девичье поле
344,"Москва, Комсомольский проспект, 45",Девичье поле
345,"Москва, улица Конёнкова, 14",район Бибирево
346,"Москва, улица Коновалова, 16А",Рязанский район
347,"Москва, Конюшковская улица, 32",Кудрино
348,"Москва, Коптевская улица, 22",район Коптево
349,"Москва, улица Корнейчука, 37",район Бибирево
350,"Москва, улица Академика Королёва, 3",Останкинский район
351,"Москва, улица Академика Королёва, 28",район Марфино
352,"Москва, Большая Косинская улица, 24А",Косино
353,"Москва, улица Космонавтов, 2",Алексеевский район
354,"Москва, улица Космонавтов, 12",Алексеевский район
355,"Москва, улица Космонавтов, 13",Алексеевский район
357,"Москва, улица Костякова, 6/5",Соломенная сторожка
358,"Москва, улица Косыгина, 5",Гагаринский район
359,"Москва, Кочновский проезд, 7",район Аэропорт
360,"Москва, улица Коштоянца, 1/83",район Проспект Вернадского
361,"Москва, улица Коштоянца, 1А",район Проспект Вернадского
362,"Москва, улица Кравченко, 8",Ломоносовский район
363,"Москва, улица Красина, 7",Кудрино
364,"Москва, улица Красина, 21",Кудрино
365,"Москва, улица Красная Пресня, 11",Кудрино
366,"Москва, улица Красная Пресня, 29",Кудрино
367,"Москва, Краснодарская улица, 51",район Люблино
368,"Москва, Краснодонская улица, 2",район Люблино
369,"Москва, Красноказарменная улица, 16",район Лефортово
370,"Москва, Краснопрудная улица, 1",Красносельский район
371,"Москва, Краснопрудная улица, 3-5",Красносельский район
372,"Москва, Краснопрудная улица, 7-9",Красносельский район
373,"Москва, Краснопрудная улица, 22-24",Красносельский район
374,"Москва, Краснопрудная улица, 26",Красносельский район
375,"Москва, Верхняя Красносельская улица, 8",Красносельский район
376,"Москва, Малая Красносельская улица, 14",Красносельский район
377,"Москва, Краснохолмская набережная, 1/15",Таганский район
378,"Москва, улица Красный Казанец, 17",Вешняки
379,"Москва, улица Красного Маяка, 1",район Чертаново Центральное
380,"Москва, улица Красного Маяка, 2",район Чертаново Центральное
381,"Москва, улица Кржижановского, 1/19",Академический район
382,"Москва, улица Кржижановского, 15",Академический район
383,"Москва, улица Кржижановского, 18",Академический район
384,"Москва, улица Кржижановского, 24/35",Академический район
