,osm_address,district
5868,"Москва, бульвар Дмитрия Донского, 15",район Северное Бутово
5869,"Москва, Суздальская улица, 26",Новокосино
5870,"Москва, Зеленоград, 1519",район Савёлки
5871,"Москва, Ярославское шоссе, 28",Ярославский район
5872,"Москва, улица Бажова, 24",район Ростокино
5873,"Москва, улица Сокольнический Вал, 8",район Сокольники
5874,"Москва, Токмаков переулок, 12/20",Бауманка
5875,"Москва, Новомарьинская улица, 14/15",Марьинский парк
5876,"Москва, Братиславская улица, 12",Марьинский парк
5877,"Москва, Цимлянская улица, 2",район Люблино
5878,"Москва, улица Марьинский Парк, 33",район Люблино
5879,"Москва, Южнобутовская улица, 62",Чернево
5880,"Москва, улица Адмирала Лазарева, 38",Чернево
5881,"Москва, улица Грина, 24",район Северное Бутово
5882,"Москва, Ленинский проспект, 128",район Проспект Вернадского
5883,"Москва, улица Улофа Пальме, 1",район Раменки
5884,"Москва, улица Академика Анохина, 56",Тропарёво
5885,"Москва, улица Пржевальского, 2",Очаково
5886,"Москва, улица Раевского, 3",район Дорогомилово
5887,"Москва, улица Генерала Белобородова, 30",район Митино
5888,"Москва, Сходненская улица, 35",район Южное Тушино
5889,"Москва, улица Викторенко, 4",Хорошёвский район
5890,"Москва, Ленинградское шоссе, 106",район Левобережный
5891,"Москва, улица Адмирала Лазарева, 36",Гавриково
5892,"Москва, улица Милашенкова, 7",Бутырский район
5893,"Москва, улица Татьяны Макаровой, 3",Кожухово
5894,"Москва, Волгоградский проспект, 104",район Кузьминки
5895,"Москва, Совхозная улица, 41",район Люблино
5896,"Москва, Рождественская улица, 21",район Некрасовка
5897,"Москва, улица Липчанского, 3",район Некрасовка
5898,"Москва, Рождественская улица, 34",район Некрасовка
5899,"Москва, проспект Защитников Москвы, 10",район Некрасовка
5900,"Москва, улица Недорубова, 5",район Некрасовка
5901,"Москва, улица Островитянова, 53",район Коньково
5902,"Москва, Мироновская улица, 25",район Соколиная Гора
5903,"Москва, Перекопская улица, 34",район Черёмушки
5904,"Москва, улица Столетова, 11",район Раменки
5905,"Москва, улица Столетова, 19",район Раменки
5906,"Москва, улица Крылатские Холмы, 33",район Крылатское
5907,"Москва, Новозаводская улица, 8",Фили
5908,"Москва, Мичуринский проспект, 6",район Раменки
5909,"Москва, улица Маршала Тухачевского, 49",район Хорошёво-Мнёвники
5910,"Москва, Красностуденческий проезд, 4",Тимирязевский район
5911,"Москва, Ходынский бульвар, 19",Ходынское поле
5912,"Москва, проезд Берёзовой Рощи, 12",Ходынское поле
5913,"Москва, Бескудниковский бульвар, 56",Бескудниковский район
5914,"Москва, Зеленоград, 2014",район Савёлки
5915,"Москва, улица Пресненский Вал, 30",Кудрино
5916,"Москва, Большой Симоновский переулок, 2",Таганский район
5917,"Москва, улица Пресненский Вал, 14",Кудрино
5918,"Москва, поселение Внуковское, улица Лётчика Грицевца, 10",Солнцево-Парк
5919,"Москва, Московский, 3-й микрорайон, 9",поселение Московский
5920,"Москва, Московский, 1-й микрорайон, 21",поселение Московский
5921,"Москва, поселение Сосенское, посёлок Коммунарка, 20А",Коммунарка
5922,"Москва, Троицк, Академическая площадь, 3",Троицк
5923,"Москва, поселение Роговское, деревня Каменка, 1Б/Н",поселение Роговское
5924,"Москва, Коломенская улица, 12",район Нагатинский Затон
5925,"Москва, Зеленоград, 315",район Савёлки
5926,"Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 4",поселение Сосенское
5927,"Москва, поселение Воскресенское, посёлок Воскресенское, 39",поселение Воскресенское
5928,"Москва, поселение Внуковское, улица Анны Ахматовой, 20",Переделкино Ближнее
5929,"Москва, поселение Внуковское, улица Самуила Маршака, 23",Переделкино Ближнее
5930,"Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, 5",Коммунарка
5931,"Москва, поселение Десеновское, 3-я Нововатутинская улица, 13",поселение Десёновское
5932,"Москва, Щербинка, улица 40 лет Октября, 14",городской округ Щербинка
5933,"Москва, поселение Марушкинское, деревня Власово, Луговая улица, 4",поселение Марушкинское
5934,"Москва, поселение Воскресенское, Чечёрский проезд, 122",район Южное Бутово
5935,"Москва, Беломорская улица, 26",район Левобережный
5936,"Москва, Большая Татарская улица, 35",Садовники
5937,"Москва, улица Гиляровского, 65",Напрудное
5938,"Москва, улица Зорге, 17",Ходынское поле
5939,"Москва, Новокузнецкая улица, 40",Садовники
5940,"Москва, улица Бахрушина, 12",Садовники
5941,"Москва, Спартаковский переулок, 2",Бауманка
5942,"Москва, Ленинский проспект, 29",Донской район
5943,"Москва, Мясницкая улица, 7",Красносельский район
5944,"Москва, Живописная улица, 28",район Хорошёво-Мнёвники
5945,"Москва, Живописная улица, 21",район Хорошёво-Мнёвники
5946,"Москва, Малая Грузинская улица, 52/34",Кудрино
5947,"Москва, Малая Грузинская улица, 20/13",Кудрино
5948,"Москва, Ермолаевский переулок, 17",Пресненский район
5949,"Москва, Старая Басманная улица, 20",Бауманка
5950,"Москва, Малый Златоустинский переулок, 3",Басманный район
5952,"Москва, 2-я Брестская улица, 5",Сущёво
5953,"Москва, Севастопольский проспект, 6",Донской район
5954,"Москва, Варшавское шоссе, 27",Донской район
5955,"Москва, Варшавское шоссе, 82",Нагорный район
5956,"Москва, Чертановская улица, 48А",район Чертаново Центральное
5957,"Москва, Пятницкая улица, 66",Садовники
5958,"Москва, Кожевническая улица, 18",Даниловский район
5959,"Москва, Севастопольский проспект, 61",район Зюзино
5960,"Москва, Путевой проезд, 14",Алтуфьевский район
5961,"Москва, Садовая-Спасская улица, 20",Красносельский район
5962,"Москва, Бойцовая улица, 12",район Богородское
5963,"Москва, Бескудниковский бульвар, 20А",Верхние Лихоборы
5964,"Москва, Лесная улица, 55",Сущёво
5965,"Москва, Лесная улица, 61",Сущёво
5966,"Москва, Белозерская улица, 17Г",район Бибирево
5967,"Москва, Флотская улица, 25",Головинский район
5968,"Москва, 2-й Балтийский переулок, 3",район Аэропорт
5969,"Москва, Ленинградское шоссе, 196",Молжаниновский район
5970,"Москва, Петрозаводская улица, 34",район Ховрино
5971,"Москва, Джанкойская улица, 1",Бутово
5972,"Москва, Ленинский проспект, 15",Донской район
5973,"Москва, улица Фомичёвой, 1А",Алёшкино
5974,"Москва, Малый Конюшковский переулок, 2",Кудрино
5975,"Москва, улица Стромынка, 11",район Сокольники
5976,"Москва, улица Гастелло, 44",район Сокольники
5977,"Москва, Новая Басманная улица, 23",Бауманка
5978,"Москва, улица Кржижановского, 14",Академический район
5979,"Москва, Херсонская улица, 20",район Черёмушки
5980,"Москва, улица Цюрупы, 28",район Черёмушки
5981,"Москва, Мясницкая улица, 37",Красносельский район
5982,"Москва, улица Паршина, 8",район Хорошёво-Мнёвники
5983,"Москва, улица Паршина, 16",район Хорошёво-Мнёвники
5984,"Москва, улица Берзарина, 12",район Хорошёво-Мнёвники
5985,"Москва, 5-я Парковая улица, 60",район Северное Измайлово
5987,"Москва, 9-я улица Соколиной Горы, 3А",район Соколиная Гора
5988,"Москва, 9-я Парковая улица, 33",район Измайлово
5989,"Москва, Сиреневый бульвар, 21",район Северное Измайлово
5990,"Москва, 9-я Парковая улица, 62",район Северное Измайлово
5991,"Москва, 4-я Магистральная улица, 5",Ходынское поле
5993,"Москва, Зеленоград, 1-й Западный проезд, 11",район Матушкино
5998,"Москва, Зеленоград, 205А",район Савёлки
5999,"Москва, Хорошёвское шоссе, 68",Ходынское поле
6000,"Москва, улица Куусинена, 19А",Ходынское поле
6001,"Москва, Козицкий переулок, 1А",Тверской район
6002,"Москва, 2-я Рощинская улица, 4",Даниловский район
6003,"Москва, Павловская улица, 25",Даниловский район
6004,"Москва, Пятницкий переулок, 10",Садовники
6005,"Москва, Пятницкая улица, 41",Садовники
6006,"Москва, проезд Добролюбова, 3",Бутырский район
6007,"Москва, Зеленоград, 1543",район Савёлки
6008,"Москва, Саянская улица, 8А",Южное Измайлово
6009,"Москва, Электродный проезд, 16",район Соколиная Гора
6010,"Москва, шоссе Энтузиастов, 98Б",Южное Измайлово
6011,"Москва, Саянская улица, 9Б",Южное Измайлово
6012,"Москва, Кетчерская улица, 4А",Новогиреево
6013,"Москва, Зелёный проспект, 91",район Новогиреево
6014,"Москва, Вешняковская улица, 39Г",Вешняки
6015,"Москва, Снайперская улица, 9А",Вешняки
6016,"Москва, Ясеневая улица, 19",район Орехово-Борисово Южное
6017,"Москва, Ясеневая улица, 32",район Орехово-Борисово Южное
6018,"Москва, Шипиловская улица, 53",район Зябликово
6019,"Москва, Ореховый бульвар, 7",район Орехово-Борисово Северное
6020,"Москва, улица Мусы Джалиля, 15",район Зябликово
6021,"Москва, Ореховый бульвар, 53",район Зябликово
6022,"Москва, Липецкая улица, 32",Бирюлёво
6023,"Москва, Борисовский проезд, 24",район Зябликово
6024,"Москва, Касимовская улица, 31",Бирюлёво
6025,"Москва, Каширское шоссе, 10",район Нагатино-Садовники
6026,"Москва, Варшавское шоссе, 59А",район Нагатино-Садовники
6027,"Москва, улица Москворечье, 14",район Москворечье-Сабурово
6028,"Москва, улица Генерала Белова, 18Б",район Орехово-Борисово Южное
6029,"Москва, улица Ленинская Слобода, 5",Даниловский район
6030,"Москва, 1-й Автозаводский проезд, 5",Даниловский район
6031,"Москва, Малахитовая улица, 14",район Ростокино
6032,"Москва, Малахитовая улица, 3",район Ростокино
6033,"Москва, Малахитовая улица, 7",район Ростокино
6034,"Москва, Садовая-Сухаревская улица, 2/34",Мещанский район
6035,"Москва, Новоалексеевская улица, 12",Алексеевский район
6036,"Москва, Протопоповский переулок, 5",Напрудное
6037,"Москва, улица Горбунова, 7",Можайский район
6038,"Москва, Кастанаевская улица, 51",район Фили-Давыдково
6039,"Москва, Ярцевская улица, 22",район Кунцево
6040,"Москва, Партизанская улица, 25",район Кунцево
6041,"Москва, улица Арбат, 21",район Арбат
6043,"Москва, улица Юных Ленинцев, 43/33",район Кузьминки
6044,"Москва, Волгоградский проспект, 102",район Кузьминки
6045,"Москва, улица Юных Ленинцев, 89",район Кузьминки
6046,"Москва, Зеленодольская улица, 40",район Кузьминки
6047,"Москва, улица Гурьянова, 75",район Печатники
6048,"Москва, 1-я улица Текстильщиков, 5/8",район Текстильщики
6049,"Москва, улица Верхние Поля, 11",район Люблино
6050,"Москва, 11-я улица Текстильщиков, 6",район Текстильщики
6051,"Москва, улица Талалихина, 37",Таганский район
6052,"Москва, Таганская улица, 13",Кошельная слобода
6053,"Москва, улица Александра Солженицына, 17",Кошельная слобода
6054,"Москва, Гурьевский проезд, 27",район Орехово-Борисово Южное
6055,"Москва, улица Мусы Джалиля, 20",район Зябликово
6056,"Москва, Открытое шоссе, 31",район Метрогородок
6057,"Москва, 6-я Радиальная улица, 20",район Бирюлёво Восточное
6058,"Москва, Ясеневая улица, 30А",район Орехово-Борисово Южное
6059,"Москва, Дмитровское шоссе, 73",район Западное Дегунино
6060,"Москва, 2-й Южнопортовый проезд, 12А",Кожухово
6061,"Москва, улица Сокольнический Вал, 17",район Сокольники
6062,"Москва, улица Барклая, 1Ж",район Дорогомилово
6063,"Москва, улица Клары Цеткин, 33",район Коптево
6064,"Москва, Автомоторная улица, 5Б",Головинский район
6065,"Москва, Большая Семёновская улица, 32",район Соколиная Гора
6066,"Москва, Каширское шоссе, 45",район Нагатинский Затон
6067,"Москва, Кантемировская улица, 58",район Москворечье-Сабурово
6068,"Москва, Зеленоград, 1426",район Савёлки
6069,"Москва, Газгольдерная улица, 6",Нижегородский район
6070,"Москва, Большая Черкизовская улица, 22",Черкизово
6071,"Москва, улица Большая Полянка, 65/74",Бабий городок
6072,"Москва, улица Большая Якиманка, 33/13",Бабий городок
6073,"Москва, улица Докукина, 6",район Ростокино
6074,"Москва, 8-й проезд Марьиной Рощи, 30",район Марьина Роща
6075,"Москва, Шереметьевская улица, 19",район Марьина Роща
6076,"Москва, Большая Новодмитровская улица, 12",Бутырский район
6077,"Москва, Путевой проезд, 34А",Алтуфьевский район
6078,"Москва, улица Малыгина, 9",Лосиноостровский район
6079,"Москва, улица Лётчика Бабушкина, 30",Лосиноостровский район
6080,"Москва, Сигнальный проезд, 6А",район Отрадное
6081,"Москва, проезд Дежнёва, 23Б",район Южное Медведково
6082,"Москва, Алтуфьевское шоссе, 72",район Бибирево
6083,"Москва, Дмитровское шоссе, 116Д",Дмитровский район
6084,"Москва, Лианозовский проезд, 4А",район Лианозово
6085,"Москва, улица Лескова, 26Б",район Бибирево
6086,"Москва, проезд Нансена, 3Б",район Свиблово
6087,"Москва, улица Сущёвский Вал, 18",район Марьина Роща
6088,"Москва, Ярославское шоссе, 124",Лось
6089,"Москва, улица Пришвина, 8",район Бибирево
6090,"Москва, Высоковольтный проезд, 2А",район Отрадное
6091,"Москва, Нововладыкинский проезд, 8",район Отрадное
6092,"Москва, Студёный проезд, 7Б",район Северное Медведково
6094,"Москва, 5-й проезд Марьиной Рощи, 15А",район Марьина Роща
6095,"Москва, Дмитровское шоссе, 118",район Лианозово
6096,"Москва, Алтуфьевское шоссе, 24",район Отрадное
6097,"Москва, Бибиревская улица, 8",район Бибирево
6098,"Москва, Дмитровское шоссе, 161Б",район Лианозово
6099,"Москва, Изумрудная улица, 18",Лосиноостровский район
6100,"Москва, Уральская улица, 1А",район Гольяново
6101,"Москва, Щёлковское шоссе, 5",городской округ Балашиха
6102,"Москва, Краснобогатырская улица, 2",район Богородское
6103,"Москва, 2-я Рыбинская улица, 13",район Сокольники
6104,"Москва, Щёлковское шоссе, 23А",Калошино
6105,"Москва, Электродная улица, 8",район Перово
6106,"Москва, улица Дмитриевского, 21",Кожухово
6107,"Москва, Старая Басманная улица, 6",Хитровка
6108,"Москва, 5-я улица Соколиной Горы, 6",район Соколиная Гора
6109,"Москва, улица Плеханова, 9",район Перово
6110,"Москва, Фрязевская улица, 1",район Новогиреево
6111,"Москва, улица Молостовых, 1Д",Южное Измайлово
6112,"Москва, 2-я улица Энтузиастов, 5",район Перово
6113,"Москва, Большая Семёновская улица, 49А",район Соколиная Гора
6114,"Москва, Буракова улица, 27",район Соколиная Гора
6115,"Москва, Электродная улица, 11",район Перово
6116,"Москва, Кусковская улица, 20А",район Новогиреево
6117,"Москва, Свободный проспект, 33А",район Новогиреево
6118,"Москва, 9-я улица Соколиной Горы, 19",район Соколиная Гора
6119,"Москва, Зелёный проспект, 24А",район Перово
6120,"Москва, Первомайская улица, 73",район Измайлово
6121,"Москва, Щёлковское шоссе, 26Б",район Северное Измайлово
6122,"Москва, Краснодарская улица, 47",район Люблино
6123,"Москва, Нижегородская улица, 29-33",Нижегородский район
6124,"Москва, Южнопортовая улица, 13",район Печатники
6125,"Москва, Южнопортовая улица, 7",Кожухово
6126,"Москва, Шоссейная улица, 1Н",район Печатники
6127,"Москва, Танковый проезд, 4",Андроново
6128,"Москва, Южнопортовая улица, 22А",Кожухово
6129,"Москва, Южнопортовая улица, 9",район Печатники
6130,"Москва, Рязанский проспект, 11",Нижегородский район
6131,"Москва, Южнопортовая улица, 15",район Печатники
6132,"Москва, 1-я улица Текстильщиков, 16",район Текстильщики
6133,"Москва, Краснодарская улица, 57А",район Люблино
6134,"Москва, 2-й Южнопортовый проезд, 18",район Печатники
6135,"Москва, Новоясеневский проспект, 2",район Ясенево
6136,"Москва, улица Новаторов, 16А",Обручевский район
6137,"Москва, Голубинская улица, 16",район Ясенево
6138,"Москва, проезд Одоевского, 2А",район Ясенево
6139,"Москва, Новоясеневский проспект, 3А",район Ясенево
6140,"Москва, Ленинский проспект, 117",Обручевский район
6141,"Москва, улица Академика Челомея, 5",Обручевский район
6142,"Москва, бульвар Дмитрия Донского, 2А",район Северное Бутово
6143,"Москва, Чечёрский проезд, 43",Чернево
6144,"Москва, улица Бунинская Аллея, 9",Чернево
6145,"Москва, Чечёрский проезд, 3",Гавриково
6146,"Москва, улица Грина, 3А",район Северное Бутово
6147,"Москва, Куликовская улица, 5",район Северное Бутово
6148,"Москва, аллея Витте, 4",Гавриково
6149,"Москва, Куликовская улица, 12",район Северное Бутово
6150,"Москва, Ратная улица, 16",район Северное Бутово
6151,"Москва, улица Адмирала Руднева, 4",Чернево
6152,"Москва, Бартеневская улица, 59",Чернево
6153,"Москва, Керченская улица, 1Б",район Зюзино
6154,"Москва, Никулинская улица, 27",Очаково
6155,"Москва, Поварская улица, 10",район Арбат
6156,"Москва, Рублёвское шоссе, 64",район Крылатское
6157,"Москва, Брянская улица, 5",район Дорогомилово
6158,"Москва, Киевская улица, 8А",район Дорогомилово
6159,"Москва, улица Неверовского, 9",район Дорогомилово
6160,"Москва, Осенняя улица, 25А",район Крылатское
6161,"Москва, Новотушинский проезд, 10",район Митино
6162,"Москва, улица Генерала Белобородова, 42",район Митино
6163,"Москва, улица Космонавта Волкова, 10",Войковский район
6164,"Москва, Старопетровский проезд, 1",Войковский район
6165,"Москва, Новослободская улица, 65",Сущёво
6166,"Москва, улица Космонавта Волкова, 6А",Войковский район
6167,"Москва, 2-я Хуторская улица, 31А",Савёловский район
6168,"Москва, Ходынский бульвар, 20А",Ходынское поле
6169,"Москва, Хорошёвское шоссе, 32А",Хорошёвский район
6170,"Москва, улица Викторенко, 5",Ходынское поле
6171,"Москва, Зеленоград, Крюковская площадь, 7",район Старое Крюково
6172,"Москва, Зеленоград, Привокзальная площадь, 1",район Крюково
6174,"Москва, Зеленоград, Савёлкинский проезд, 4",район Савёлки
6175,"Москва, Каширское шоссе, 78",район Москворечье-Сабурово
6176,"Москва, улица Вавилова, 5",Донской район
6177,"Москва, Сумской проезд, 2",район Чертаново Северное
6178,"Москва, Россошанский проезд, 3Г",район Чертаново Южное
6179,"Москва, Кировоградская улица, 15",район Чертаново Центральное
6180,"Москва, Загородное шоссе, 1",Донской район
6181,"Москва, Востряковский проезд, 17А",район Бирюлёво Западное
6182,"Москва, 5-й Донской проезд, 21Б",Донской район
6183,"Москва, Каширское шоссе, 41",район Нагатинский Затон
6184,"Москва, Варшавское шоссе, 138",район Чертаново Центральное
6185,"Москва, Шипиловский проезд, 29",район Орехово-Борисово Северное
6186,"Москва, Варшавское шоссе, 91",городской округ Подольск
6187,"Москва, 1-й Варшавский проезд, 1А",район Москворечье-Сабурово
6188,"Москва, Дорожная улица, 60Б",район Чертаново Южное
6189,"Москва, Автозаводская улица, 23",Даниловский район
6190,"Москва, улица Серпуховский Вал, 1",Даниловский район
6191,"Москва, проспект Андропова, 22/30А",район Нагатино-Садовники
6192,"Москва, Дубининская улица, 71",Даниловский район
6193,"Москва, Каширское шоссе, 39",район Нагатинский Затон
6194,"Москва, Каширское шоссе, 76",район Москворечье-Сабурово
6195,"Москва, Кировоградская улица, 13",район Чертаново Центральное
6196,"Москва, Бирюлёвская улица, 26А",Бирюлёво
6197,"Москва, Чонгарский бульвар, 2А",район Зюзино
6198,"Москва, Кировоградская улица, 15А",район Чертаново Центральное
6199,"Москва, Булатниковский проезд, 14Ж",район Бирюлёво Западное
6200,"Москва, Дорожная улица, 7",район Чертаново Центральное
6201,"Москва, Каспийская улица, 30",район Царицыно
6202,"Москва, Ореховый проезд, 39А",район Зябликово
6203,"Москва, улица Мусы Джалиля, 4А",район Зябликово
6204,"Москва, Судостроительная улица, 42А",район Нагатинский Затон
6205,"Москва, Загорьевская улица, 13",Бирюлёво
6206,"Москва, проспект Андропова, 31А",район Нагатинский Затон
6207,"Москва, Варшавское шоссе, 133",район Чертаново Центральное
6208,"Москва, Каспийская улица, 28",район Царицыно
6209,"Москва, Шипиловская улица, 32А",район Орехово-Борисово Северное
6210,"Москва, микрорайон Северное Чертаново, 4",район Чертаново Северное
6211,"Москва, Дербеневская улица, 3",Даниловский район
6212,"Москва, Дубининская улица, 55",Даниловский район
6213,"Москва, Варшавское шоссе, 170А",район Чертаново Южное
6214,"Москва, Павловская улица, 18",Даниловский район
6215,"Москва, Новогиреевская улица, 49",район Новогиреево
6216,"Москва, улица Юности, 15",район Вешняки
6217,"Москва, Большая Косинская улица, 27",Косино
6218,"Москва, улица Сергея Макеева, 9",Пресненский район
6219,"Москва, Большая Декабрьская улица, 3",Кудрино
6220,"Москва, 2-я Брестская улица, 41",Пресненский район
6221,"Москва, Марксистская улица, 16",Кошельная слобода
6222,"Москва, Плотников переулок, 12",район Арбат
6223,"Москва, Большой Кисловский переулок, 9",Пресненский район
6224,"Москва, Тишинская площадь, 1",Кудрино
6225,"Москва, Комсомольская площадь, 5",Красносельский район
6226,"Москва, Никольская улица, 19-21/1",Тверской район
6227,"Москва, улица 10-летия Октября, 13",район Хамовники
6228,"Москва, Лялин переулок, 3",Басманный район
6229,"Москва, Краснопресненская набережная, 12А",Пресненский район
6230,"Москва, Вознесенский переулок, 7",Пресненский район
6231,"Москва, улица Арбат, 10",район Арбат
6232,"Москва, 1-й Казачий переулок, 13",Бабий городок
6233,"Москва, Садовнический проезд, 6",Садовники
6234,"Москва, Зоологическая улица, 26А",Кудрино
6235,"Москва, Малая Андроньевская улица, 20/8",Таганский район
6236,"Москва, Верхняя Сыромятническая улица, 9",Хитровка
6237,"Москва, Шмитовский проезд, 29",Пресненский район
6238,"Москва, проспект Мира, 64",Напрудное
6239,"Москва, Большая Декабрьская улица, 13",Кудрино
6240,"Москва, улица Коровий Вал, 5",район Замоскворечье
6241,"Москва, Московский, Солнечная улица, 1",Микрорайон №4 (Град Московский)
6242,"Москва, поселение Киевский, рабочий посёлок Киевский, 31",поселение Киевский
6243,"Москва, поселение Московский, деревня Саларьево, 3",поселение Московский
6244,"Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 11",поселение Сосенское
6245,"Москва, Московский, 1-й микрорайон, 49",поселение Московский
6246,"Москва, Московский, 1-й микрорайон, 39",поселение Московский
6247,"Москва, поселение Рязановское, посёлок Знамя Октября, 14",поселение Рязановское
6248,"Москва, Троицк, микрорайон ""В"", 3",поселение Троицк
6249,"Москва, Троицк, микрорайон ""В"", 54",поселение Троицк
6250,"Москва, Московский, улица Бианки, 1",Московский
6251,"Москва, поселение Воскресенское, посёлок Воскресенское, 22А",поселение Воскресенское
6252,"Москва, поселение Щаповское, деревня Троицкое, 66",поселение Щаповское
6253,"Москва, поселение Марушкинское, вблизи деревни Крекшино, 14Б/Н",поселение Марушкинское
6254,"Москва, поселение Вороновское, вблизи деревни Безобразово, 1Б/Н",поселение Вороновское
6255,"Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, 96",Коммунарка
6256,"Москва, улица Лобачевского, 102",район Проспект Вернадского
6257,"Москва, Мичуринский проспект, 43",район Раменки
6258,"Москва, Ходынский бульвар, 4",Ходынское поле
6259,"Москва, улица Красина, 3",Кудрино
6260,"Москва, поселение Воскресенское, посёлок Воскресенское, 40",поселение Воскресенское
6261,"Москва, поселение Десеновское, 1-я Нововатутинская улица, 1",поселение Десёновское
6262,"Москва, поселение Сосенское, посёлок Коммунарка, Лазурная улица, 1",поселение Сосенское
6263,"Москва, поселение Краснопахорское, деревня Колотилово, Цветочная улица, 1",поселение Краснопахорское
6264,"Москва, поселение Сосенское, улица Адмирала Корнилова, 44",поселение Сосенское
6265,"Москва, Щербинка, Бутовский тупик, 1",Барыши
6266,"Москва, поселение Внуковское, улица Самуила Маршака, 17",Переделкино Ближнее
6267,"Москва, улица Бориса Галушкина, 3",Алексеевский район
6268,"Москва, бульвар Академика Ландау, 1",район Северный
6269,"Москва, поселение Сосенское, деревня Сосенки, 55А",поселение Сосенское
6270,"Москва, улица Поляны, 57",Гавриково
6271,"Москва, поселение Сосенское, улица Сервантеса, 3",поселение Сосенское
6272,"Москва, поселение Сосенское, улица Сервантеса, 1",поселение Сосенское
6273,"Москва, Московский, улица Хабарова, 1",Микрорайон №4 (Град Московский)
6274,"Москва, Донская улица, 8",Донской район
6275,"Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, 94",Коммунарка
6276,"Москва, Большая Семёновская улица, 17А",район Соколиная Гора
6277,"Москва, улица Тюрина, 1",район Бирюлёво Восточное
6278,"Москва, улица Бунинская Аллея, 7",Чернево
6279,"Москва, 1-й Стрелецкий проезд, 14",район Марьина Роща
6280,"Москва, 1-я Брестская улица, 29",Тверской район
6281,"Москва, улица Коровий Вал, 1А",Бабий городок
6282,"Москва, проспект 60-летия Октября, 18",Академический район
6283,"Москва, Хорошёвское шоссе, 90",Ходынское поле
6284,"Москва, Первомайская улица, 89",район Измайлово
6285,"Москва, улица Мастеркова, 1",Даниловский район
6286,"Москва, Мичуринский проспект, 26",район Раменки
6287,"Москва, Чечёрский проезд, 8",Гавриково
6288,"Москва, Зеленодольская улица, 44",район Кузьминки
6289,"Москва, улица Авиаконструктора Микояна, 12",Ходынское поле
6290,"Москва, улица Лобачевского, 112А",район Раменки
6291,"Москва, Тихвинская улица, 3",Тверской район
6292,"Москва, улица Крылатские Холмы, 53",район Крылатское
6293,"Москва, Ставропольская улица, 23",район Люблино
6294,"Москва, улица Гурьянова, 31",район Печатники
6295,"Москва, Волжский Бульвар 113а, 1",район Текстильщики
6296,"Москва, Северодвинская улица, 20",район Северное Медведково
6297,"Москва, Семёновский переулок, 15",район Соколиная Гора
6298,"Москва, Ленинский проспект, 156",Тропарёво
6299,"Москва, Симферопольский бульвар, 14",район Зюзино
6300,"Москва, проспект Маршала Жукова, 1",район Хорошёво-Мнёвники
6301,"Москва, Щёлковское шоссе, 60",район Северное Измайлово
6302,"Москва, Коктебельская улица, 2",район Северное Бутово
6303,"Москва, Щербинка, улица Барышевская Роща, 18",Барыши
6304,"Москва, улица Грекова, 4",район Северное Медведково
6305,"Москва, Зеленоград, 118",район Савёлки
6306,"Москва, Нижегородская улица, 72/2",Нижегородский район
6307,"Москва, Старая Басманная улица, 25",Бауманка
6308,"Москва, Дубнинская улица, 71",Бескудниковский район
6309,"Москва, 4-й Кожевнический переулок, 4",Даниловский район
6310,"Москва, Старокачаловская улица, 1Б",район Северное Бутово
6311,"Москва, улица Удальцова, 50",район Проспект Вернадского
6312,"Москва, улица Маршала Бирюзова, 17",Октябрьское поле
6313,"Москва, Щербинка, Железнодорожная улица, 47",Барыши
6314,"Москва, улица Маросейка, 7/8",Басманный район
6315,"Москва, Привольная улица, 65/32",район Выхино-Жулебино
6316,"Москва, улица Красная Пресня, 28",Кудрино
6317,"Москва, Старобитцевская улица, 11",район Северное Бутово
6318,"Москва, улица Генерала Глаголева, 19",район Хорошёво-Мнёвники
6319,"Москва, Куликовская улица, 6",район Северное Бутово
6320,"Москва, Ленинградский проспект, 45",Ходынское поле
6321,"Москва, улица Черняховского, 6",район Аэропорт
6322,"Москва, Нижегородская улица, 27Б",Нижегородский район
6323,"Москва, улица Земляной Вал, 18",Хитровка
6324,"Москва, улица Правды, 8",район Беговой
6325,"Москва, Селигерская улица, 18",Верхние Лихоборы
6326,"Москва, Мироновская улица, 18",район Соколиная Гора
6327,"Москва, Волгоградский проспект, 119/22",район Кузьминки
6328,"Москва, Малая Тульская улица, 57",Донской район
6329,"Москва, Алтуфьевское шоссе, 52А",район Бибирево
6330,"Москва, Хорошёвское шоссе, 1",Хорошёвский район
6331,"Москва, Верхняя Красносельская улица, 38/19",Красносельский район
6332,"Москва, Ленинский проспект, 101",Обручевский район
6333,"Москва, Южнопортовая улица, 22",Кожухово
6334,"Москва, улица Народного Ополчения, 44",Октябрьское поле
